File1_Index,File2_Index,File1_Description,File2_Description,Similarity_Score
6,66,0042 customer came gate line wanting go hammersmith . csa told train would take gone . said lost phone n't say lost . asked report police . csm came exchanged words customer trying help sudden barged gate started attacking csm kicked throwing punches csm . csm fell floor took csm 's glasses floor threw lay floor spat csm face . police called 00.47. lucc called 00.50 requesting ambulance . csa came back station missed staff taxi reported assailant attempted throw bin way . came back around 00.54 requesting name csm shouting racist remarks . wants name chinese ' c ' . said name sima kabius works fulham council . police arrived 00.59 arrested . camera 14 viewed . assault took place 00.44:27 lasted minute . crime ref 16/9/10/2023 . ambulance ref 2 .csm left nirm st.mary 's hospital staff taxi .at 03.18,"aged approximately 40 wearing blue black tracksuit filming poms went station , came back gate line minutes tapped started film bottom lift 1. randy sst ask man everything okay became agitated aggressive asked police . left station , thought behaviour suspicious reported css mariatu advised complete waasb .",0.8197599
7,10,"customer service manager gn03 whilst carrying station checks closing station bostwick gates preparation arrival last eastbound train . csm gn03 pulled across bostwick gate situated computer room inspected switch room ( e5 ) , black passenger attempting force way wag22 paid side . black spots csm gn03 asks let 'in ' . csm gn03 enquired customer meant letting ? customer responded , start journey touch . csm gn03 asked station started , replied kings cross added want overcharged touched . csm gn03 advised touch resolve journey . replied short aggressive no !  csm gn03 sensed would become aggressive , proceeded sprinkler valve chamber continue station checks remove situation . black passenger happy , stating disrespected csm gn53 moving away . coming sprinkler valve chamber , remained position immediately started shouting csm gn03 becoming even threatening confrontational , walking directly face . black passenger also stated csm gn03 next time disrespected , would deal later . mentioned black women respect . csm gn03 activates body worn camera 240432 remained silent response black passengers rage really afraid safety . customer service assistant gn55 witnessed whole incident , five escalator engineers heard shouting came investigate offer assistance support . btp ref . . 33 22/09/2023","morning pti platform 3 & 4 heard woman shouting language couldnt understand . individual shouting customers walking swearing english rest another language , went check ( train left platform 3 ) carried verbally aggressive customers . css mobile called , escorted platform 2 take uxbridge train . body worn didnt work straight away . n : 255707",0.8298185
8,7,"01:00hrs csm unpaid side gateline directing customers last train junction rd exit . young lady entering station black walking closely beside . look comfortable approached keeping least arms length away . made eye contact gestured go away . stood front blocking path put arms sides . side stepped stood behind . asked leave trains anyway said needed take lit cigarette station . grabbed crotch said 'down boy ' directing comment . went junction road exit disapeared reappeared , stood entrance shouted csm 'big tfl man come outside fuck ' picked radio dialled 999 , responded 'call police ' btp arrived 01:20hrs call sign n1n said found arrested .","refusing leave train , advised late train gone train going depot , told get hes holding service . still refusing train op takes males bag puts platform . clinches fist threatening hit train , threatens kill attack , states next time sees kill , kept walking towards called radio assistance . ( black , appx 50 , slim , red jacket , red rucksack , jeans think )",0.8112167
8,10,"01:00hrs csm unpaid side gateline directing customers last train junction rd exit . young lady entering station black walking closely beside . look comfortable approached keeping least arms length away . made eye contact gestured go away . stood front blocking path put arms sides . side stepped stood behind . asked leave trains anyway said needed take lit cigarette station . grabbed crotch said 'down boy ' directing comment . went junction road exit disapeared reappeared , stood entrance shouted csm 'big tfl man come outside fuck ' picked radio dialled 999 , responded 'call police ' btp arrived 01:20hrs call sign n1n said found arrested .","morning pti platform 3 & 4 heard woman shouting language couldnt understand . individual shouting customers walking swearing english rest another language , went check ( train left platform 3 ) carried verbally aggressive customers . css mobile called , escorted platform 2 take uxbridge train . body worn didnt work straight away . n : 255707",0.81602174
10,7,"approximately 02.00 hours css heard knocking window preparing first aid items customer cut finger station . caucasian knocking wearing brown hat , green jacket , blue jeans black shoes . 5 foot 9 inches tall blond moustache told css sleeping several hours waiting room last night woken station staff morning 7 oclock cant find nokia phone . css said nothing found waiting area , nothing handed matching description . css asked mistaken would sleeping several hours unnoticed . said sure turnham green station , intoxicated . asked css one last night . css confirmed css overnight definitely see . asked cleaner black white cleaner working . css told important situation . said found phone turnham green come back take guts out also said , when im done would nothing left . css said doesnt want listen backed away office . tried enter office , css slammed door shut . kicked door two three times walked away station entrance . report made british transport police .","refusing leave train , advised late train gone train going depot , told get hes holding service . still refusing train op takes males bag puts platform . clinches fist threatening hit train , threatens kill attack , states next time sees kill , kept walking towards called radio assistance . ( black , appx 50 , slim , red jacket , red rucksack , jeans think )",0.80157316
10,10,"approximately 02.00 hours css heard knocking window preparing first aid items customer cut finger station . caucasian knocking wearing brown hat , green jacket , blue jeans black shoes . 5 foot 9 inches tall blond moustache told css sleeping several hours waiting room last night woken station staff morning 7 oclock cant find nokia phone . css said nothing found waiting area , nothing handed matching description . css asked mistaken would sleeping several hours unnoticed . said sure turnham green station , intoxicated . asked css one last night . css confirmed css overnight definitely see . asked cleaner black white cleaner working . css told important situation . said found phone turnham green come back take guts out also said , when im done would nothing left . css said doesnt want listen backed away office . tried enter office , css slammed door shut . kicked door two three times walked away station entrance . report made british transport police .","morning pti platform 3 & 4 heard woman shouting language couldnt understand . individual shouting customers walking swearing english rest another language , went check ( train left platform 3 ) carried verbally aggressive customers . css mobile called , escorted platform 2 take uxbridge train . body worn didnt work straight away . n : 255707",0.8282566
10,18,"approximately 02.00 hours css heard knocking window preparing first aid items customer cut finger station . caucasian knocking wearing brown hat , green jacket , blue jeans black shoes . 5 foot 9 inches tall blond moustache told css sleeping several hours waiting room last night woken station staff morning 7 oclock cant find nokia phone . css said nothing found waiting area , nothing handed matching description . css asked mistaken would sleeping several hours unnoticed . said sure turnham green station , intoxicated . asked css one last night . css confirmed css overnight definitely see . asked cleaner black white cleaner working . css told important situation . said found phone turnham green come back take guts out also said , when im done would nothing left . css said doesnt want listen backed away office . tried enter office , css slammed door shut . kicked door two three times walked away station entrance . report made british transport police .","ic1 wearing black tracksuit hoodie , 17 years age sitting cou course floor . approached stated hes life , prison 9 months family members go . left station distressed around 30 minutes came back attempting push barriers . stopped ran . btp attended station",0.81735456
10,66,"approximately 02.00 hours css heard knocking window preparing first aid items customer cut finger station . caucasian knocking wearing brown hat , green jacket , blue jeans black shoes . 5 foot 9 inches tall blond moustache told css sleeping several hours waiting room last night woken station staff morning 7 oclock cant find nokia phone . css said nothing found waiting area , nothing handed matching description . css asked mistaken would sleeping several hours unnoticed . said sure turnham green station , intoxicated . asked css one last night . css confirmed css overnight definitely see . asked cleaner black white cleaner working . css told important situation . said found phone turnham green come back take guts out also said , when im done would nothing left . css said doesnt want listen backed away office . tried enter office , css slammed door shut . kicked door two three times walked away station entrance . report made british transport police .","aged approximately 40 wearing blue black tracksuit filming poms went station , came back gate line minutes tapped started film bottom lift 1. randy sst ask man everything okay became agitated aggressive asked police . left station , thought behaviour suspicious reported css mariatu advised complete waasb .",0.822724
16,38,"sunday 1st october 2023 04:50hrs managers office process completing handover report next shift manager . time , received radio call control room informing observing member public laying floor south bridge area station currently closed public . colleague cl made way check passenger . arrived , observed person would describe , appeared indian appearance , late 40s , 5ft 11 tall , average build , medium length black greying hair , light facial hair , wearing black shoes , black combat style trousers khaki green hooded jacket hood , rolling floor , colleague cl first asked get however ignored request . asked get responded stating , punch get . informed going call police made way managers office requested police attendance . btp ref 076 01.10.2023 given . whilst awaiting police attendance , informed colleague cl indian , got walking towards eastbound platform . made way back colleague still south bridge part station followed indian eastbound platform . platform , observed indian towards headweall side platform , rolling floor , platform seat . requested colleague cl return control room , request member staff assist . one customer service assistants ew ( bb47 ) came platform assist needed use toilet . whilst way , received radio call colleague platform informing indian gone beyond platform end barrier laying side barrier . immediately returned platform colleague aa ( bb49 ) conducting 5pm station check . 05:15hrs arrived indian got walked platform end ramp considered trackside . point , 05:15hrs requested piccadilly service controller switch power due trespasser track . began request indian return platform however indian ignored request began walk tracks onto eastbound district line track . indian began walking back forth eastbound district line track eastbound piccadilly line track . observed indian climb onto signal post requested us let train run . indian came signal post lay back platform end ramp . 05:28hrs british transport police officers arrived hand cuffed indian . updated piccadilly line controller indian control btp officers trains could run caution speed . 05:33hrs trains began run caution speed . 05:48hrs btp officers arrived assist . 05:57hrs , btp officers escorted indian platform police van . piccadilly controllerr contacted resume normal service platform areas clear .",approximately 12.20/12.25 hrs today 2 teenagers approached wag 22 ( exit ) . one touched followed . asked one didnt pay walked asked old . age 15 years old . tried zip card gate ( code 37 ) asked see zip card information photo visible . explained retaining zip card became abusive swearing shouting .,0.80478346
22,19,"around 0315 customer requested assistance gate line became angry approached csa asked drop ticket . shouted responsibility find card push gates . also said better 'll push gates . pushed gates started shouting abuse member staff . heard abuse witnessed happened . went approach customer asked shouted member staff said lost ticket machine needed assistance . told n't need treat member staff way . informed lying check cctv , found customer opened barrier card may dropped . aggressiveness customer btp called 04:22 reference 10. member staff offered counselling refused .","customer bank card code 80. explained customer needed call card issuer . customer became rude raised voice , telling hed allowed travel whole previous day refused entry fucking jobsworth left station .",0.84955204
22,59,"around 0315 customer requested assistance gate line became angry approached csa asked drop ticket . shouted responsibility find card push gates . also said better 'll push gates . pushed gates started shouting abuse member staff . heard abuse witnessed happened . went approach customer asked shouted member staff said lost ticket machine needed assistance . told n't need treat member staff way . informed lying check cctv , found customer opened barrier card may dropped . aggressiveness customer btp called 04:22 reference 10. member staff offered counselling refused .",customer waited member staff go toilet came started getting aggressive demanding apology ignoring rude ticket . said nothing apologise replied well money oyster thank . felt alone intimidated worried safety station place,0.8263592
24,10,"customer approached csa gate line around 09:00. speak english well also influence something . shouting bag gone belongings missing . spoke microphone ask lost lost know wanted check cameras find items . explained would check see something handed l/p , done items fitting description lost items . told items reported found anywhere would check back later go l/p process . became aggressive said fuck , check cameras find stuff . could get could check everywhere find . began banging office window would stop , threw bottle water window also . bag strap swinging around hitting window shelf . btp contacted 09:22 ref 191 given . staff place safety , unable assist customers due passengers aggression . x2 btp officers arrived 09:47 3547 3341. used one station rooms speak customer . left station 11:48 customer handcuffs . btp said unwilling accept could done moment evasive situation . arrested overstay visa .","morning pti platform 3 & 4 heard woman shouting language couldnt understand . individual shouting customers walking swearing english rest another language , went check ( train left platform 3 ) carried verbally aggressive customers . css mobile called , escorted platform 2 take uxbridge train . body worn didnt work straight away . n : 255707",0.81102693
24,19,"customer approached csa gate line around 09:00. speak english well also influence something . shouting bag gone belongings missing . spoke microphone ask lost lost know wanted check cameras find items . explained would check see something handed l/p , done items fitting description lost items . told items reported found anywhere would check back later go l/p process . became aggressive said fuck , check cameras find stuff . could get could check everywhere find . began banging office window would stop , threw bottle water window also . bag strap swinging around hitting window shelf . btp contacted 09:22 ref 191 given . staff place safety , unable assist customers due passengers aggression . x2 btp officers arrived 09:47 3547 3341. used one station rooms speak customer . left station 11:48 customer handcuffs . btp said unwilling accept could done moment evasive situation . arrested overstay visa .","customer bank card code 80. explained customer needed call card issuer . customer became rude raised voice , telling hed allowed travel whole previous day refused entry fucking jobsworth left station .",0.82247055
24,59,"customer approached csa gate line around 09:00. speak english well also influence something . shouting bag gone belongings missing . spoke microphone ask lost lost know wanted check cameras find items . explained would check see something handed l/p , done items fitting description lost items . told items reported found anywhere would check back later go l/p process . became aggressive said fuck , check cameras find stuff . could get could check everywhere find . began banging office window would stop , threw bottle water window also . bag strap swinging around hitting window shelf . btp contacted 09:22 ref 191 given . staff place safety , unable assist customers due passengers aggression . x2 btp officers arrived 09:47 3547 3341. used one station rooms speak customer . left station 11:48 customer handcuffs . btp said unwilling accept could done moment evasive situation . arrested overstay visa .",customer waited member staff go toilet came started getting aggressive demanding apology ignoring rude ticket . said nothing apologise replied well money oyster thank . felt alone intimidated worried safety station place,0.83868444
24,66,"customer approached csa gate line around 09:00. speak english well also influence something . shouting bag gone belongings missing . spoke microphone ask lost lost know wanted check cameras find items . explained would check see something handed l/p , done items fitting description lost items . told items reported found anywhere would check back later go l/p process . became aggressive said fuck , check cameras find stuff . could get could check everywhere find . began banging office window would stop , threw bottle water window also . bag strap swinging around hitting window shelf . btp contacted 09:22 ref 191 given . staff place safety , unable assist customers due passengers aggression . x2 btp officers arrived 09:47 3547 3341. used one station rooms speak customer . left station 11:48 customer handcuffs . btp said unwilling accept could done moment evasive situation . arrested overstay visa .","aged approximately 40 wearing blue black tracksuit filming poms went station , came back gate line minutes tapped started film bottom lift 1. randy sst ask man everything okay became agitated aggressive asked police . left station , thought behaviour suspicious reported css mariatu advised complete waasb .",0.8093288
31,10,"08:23 hours - lis informed css train operator complained customer trying board southbound train bike peak hours . lis asked css investigate . 08:26 hours - css located customer bike began make way tail end platform . 08:29 hours - css asked speak person bike immediately met verbal abuse person question . gentleman bike got close css near edge platform berated , telling `` fuck '' leave alone . css explained wanted explain problems boarding last train ( i.e driver want train bike ) . css approached calm manner simply said wanted help . assailant said `` know time travel , 'm going chill hour get train '' . css said ok maybe help journey ? assailant got extremely verbally aggressive told css `` fuck '' , adding `` know , 's always , black man involved , lot immediately racist '' . css quietly politely said `` hope nice day sir '' . assailant ended parting shot `` 's fuck spastic '' ( walking slight limp due condition multiple sclerosis ) . 08:31 hours - css called lis back inform happened css intention trying prevent assailant boarding next incoming train . moments later . 08:35 hours - btp called lis requested .","morning pti platform 3 & 4 heard woman shouting language couldnt understand . individual shouting customers walking swearing english rest another language , went check ( train left platform 3 ) carried verbally aggressive customers . css mobile called , escorted platform 2 take uxbridge train . body worn didnt work straight away . n : 255707",0.8025393
33,10,"csa carrying sats . laid bench . csa asked move met verbal abuse . telling fuck , pushed csa away causing visible scratch neck . point csa radioed control room ask btp put hands . csm went assist css contacted btp . approach raised voices could heard arriving platform . platform could heard saying 's going punch csa n't leave , needs go back mother country , go back mum , 's suck mum , fuck . train abuse repeat . csm stood two . point train 221 pulled platform become busy . boarded train car 12074 left . btp urgent call cancelled . btp advised incident , crime reference 170210923. btp visited station quick chat csa advised someone workplace violence unit would touch take detail offer support .","morning pti platform 3 & 4 heard woman shouting language couldnt understand . individual shouting customers walking swearing english rest another language , went check ( train left platform 3 ) carried verbally aggressive customers . css mobile called , escorted platform 2 take uxbridge train . body worn didnt work straight away . n : 255707",0.8041993
34,7,"appx 09:20am saturday 16th september , 2023 , csm received radio call csa communication breaking , csm phoned glap . csa stated individual exposed station needed assistance . csm went platform 2 csa waiting , pointed . man black , short black hair , 56 , large exposed belly , wearing tight red shorts , open red shirt front exposed . csm tried speaking , jumped onto train ( 065 ) , 2nd carriage . csm signalled train held , csa spoke driver . csm asked , started rude saying could hold train long wanted , wasnt getting , csm asked exposed , indicated needed urinate . csa arrived , informed police way apprehend , could leave face police train . started becoming abusive , left train . csm gave driver go ahead move train . followed lift , made verbal threats csa , made body arm movements punch , threw chewed lollipop csa , recorded body worn video , csm escorted lift , asked csa take next lift , escorted station . csa collected lollipop dna evidence . lollipop placed inside multisafe bag kept inside lost property cabinet btp pick . crime reported police 09:50hrs . btp ref : 192","refusing leave train , advised late train gone train going depot , told get hes holding service . still refusing train op takes males bag puts platform . clinches fist threatening hit train , threatens kill attack , states next time sees kill , kept walking towards called radio assistance . ( black , appx 50 , slim , red jacket , red rucksack , jeans think )",0.8065938
34,10,"appx 09:20am saturday 16th september , 2023 , csm received radio call csa communication breaking , csm phoned glap . csa stated individual exposed station needed assistance . csm went platform 2 csa waiting , pointed . man black , short black hair , 56 , large exposed belly , wearing tight red shorts , open red shirt front exposed . csm tried speaking , jumped onto train ( 065 ) , 2nd carriage . csm signalled train held , csa spoke driver . csm asked , started rude saying could hold train long wanted , wasnt getting , csm asked exposed , indicated needed urinate . csa arrived , informed police way apprehend , could leave face police train . started becoming abusive , left train . csm gave driver go ahead move train . followed lift , made verbal threats csa , made body arm movements punch , threw chewed lollipop csa , recorded body worn video , csm escorted lift , asked csa take next lift , escorted station . csa collected lollipop dna evidence . lollipop placed inside multisafe bag kept inside lost property cabinet btp pick . crime reported police 09:50hrs . btp ref : 192","morning pti platform 3 & 4 heard woman shouting language couldnt understand . individual shouting customers walking swearing english rest another language , went check ( train left platform 3 ) carried verbally aggressive customers . css mobile called , escorted platform 2 take uxbridge train . body worn didnt work straight away . n : 255707",0.83087844
40,20,"refers eirf 001301799 05th october . approached csm window 07:05 asking csm name constantly letting csm speak . 07.05 yesterday 's eirf incident station . csm left control room went door , appeared tried punch grabbed body worn camera , however manage snatch managed hold , hurt thumb process . pushed grabbed told going fuck . continued approximately one minute constantly saying `` 'm going fuck bitch '' taking right hand pocket intimating might weapon coat pocket . left said `` fuck '' . left station . btp arrived approx 25 minutes later took statement .","man came escalator wheelchair swearing help get escalator . ran foot 3 times hitting weelchair . started racist , threatened kill , twice . captured bwv 256138 approx 23:05. approx 60 years old , wheelchair due disability .",0.8148663
40,66,"refers eirf 001301799 05th october . approached csm window 07:05 asking csm name constantly letting csm speak . 07.05 yesterday 's eirf incident station . csm left control room went door , appeared tried punch grabbed body worn camera , however manage snatch managed hold , hurt thumb process . pushed grabbed told going fuck . continued approximately one minute constantly saying `` 'm going fuck bitch '' taking right hand pocket intimating might weapon coat pocket . left said `` fuck '' . left station . btp arrived approx 25 minutes later took statement .","aged approximately 40 wearing blue black tracksuit filming poms went station , came back gate line minutes tapped started film bottom lift 1. randy sst ask man everything okay became agitated aggressive asked police . left station , thought behaviour suspicious reported css mariatu advised complete waasb .",0.80692637
44,10,"approx 07.30 t.op radio 'd inform spoke yesterday regarding paying daughter travel used oystercard wide aisled gate walked children including 17 year old using crutch . pay travel . approached mother ignoring family boarded train 324. train leaving another 2-3 minutes decided approach tell conversation yesterday two weeks ago , continually informed must pay daughter travel , told talk daughter one paying . informed parent allowing child using oystercard wanted talk . became quite aggressive toward raising voice saying money pay . informed would reporting matter correct authorities ignored pleas pay daughter started walk along platform heard tell fuck call racist . asked swear point rude raised voice , continued swear . point walked away avoid things escalating allowed travel tn324 . contacted btp inform incident . 11.30 asked speak door control room . approached asked could help . quite aggressive manner accused staff harassing people knew . informed spoken lady earlier , interrupted asked harassing . asked answering replied advocate family . explained young lady travelled mother must pay journey , interrupted said , `` ordered new oystercard person trying stop ? kings cross said 's fine london staff said 's ok nobody minds '' . explained would case everybody pay supposed pay . young became quite aggressive started filming point switched bwc256036 . one colleagues attempted explain told shut . point informed would longer talk made way back office . walked away said brother coming tomorrow morning colleague asked threat replied `` yes '' . contact made .","morning pti platform 3 & 4 heard woman shouting language couldnt understand . individual shouting customers walking swearing english rest another language , went check ( train left platform 3 ) carried verbally aggressive customers . css mobile called , escorted platform 2 take uxbridge train . body worn didnt work straight away . n : 255707",0.8077457
44,66,"approx 07.30 t.op radio 'd inform spoke yesterday regarding paying daughter travel used oystercard wide aisled gate walked children including 17 year old using crutch . pay travel . approached mother ignoring family boarded train 324. train leaving another 2-3 minutes decided approach tell conversation yesterday two weeks ago , continually informed must pay daughter travel , told talk daughter one paying . informed parent allowing child using oystercard wanted talk . became quite aggressive toward raising voice saying money pay . informed would reporting matter correct authorities ignored pleas pay daughter started walk along platform heard tell fuck call racist . asked swear point rude raised voice , continued swear . point walked away avoid things escalating allowed travel tn324 . contacted btp inform incident . 11.30 asked speak door control room . approached asked could help . quite aggressive manner accused staff harassing people knew . informed spoken lady earlier , interrupted asked harassing . asked answering replied advocate family . explained young lady travelled mother must pay journey , interrupted said , `` ordered new oystercard person trying stop ? kings cross said 's fine london staff said 's ok nobody minds '' . explained would case everybody pay supposed pay . young became quite aggressive started filming point switched bwc256036 . one colleagues attempted explain told shut . point informed would longer talk made way back office . walked away said brother coming tomorrow morning colleague asked threat replied `` yes '' . contact made .","aged approximately 40 wearing blue black tracksuit filming poms went station , came back gate line minutes tapped started film bottom lift 1. randy sst ask man everything okay became agitated aggressive asked police . left station , thought behaviour suspicious reported css mariatu advised complete waasb .",0.81896067
