Boroughs,Bus Route,Classification,Confidence,Create_Date,Year,Quarter,Month,Day,Year,Quarter,Month,Day,Date_of_Incident,DateFK,Day,Description,Easting,Hour,HourGroup,Year,Quarter,Month,Day,IRIS,Location / Road Name,Modified_Date,Month,MonthNum,Northing,ReportingLag,Time,Time_of_Incident,URN,Victims Job,Weekday,Year
BARKING & DAGENHAM,115,Assault,3,1689514096,2023,Qtr 3,July,16,2023,Qtr 3,July,21,2460139,20230713,13,"at the time of approximately 18:45 After i served the bus stop at barking road, as i started to close my back door, suddenly a guy jumped back on my bus, and i approached to moved off thinking his might of got off at the wrong bus stop and as this always happens to passengers,so carried on to move off and come to the junction at the traffic light, as i was at the traffic light to approach to high st south, this passenger come up to me by my cab door and shouting and swearing at me and his telling me to open the door, so i told him he has to wait till i get to the next stop and it is not safe for me to open the door for him now because im already on the right side of the road and vehicle are passing by on the left. as i got to the high st south he come up to me and calling me to come out so he can fight me, swearing you fucking bengali bustards i fuck you up and also he was going to attack another olderly person because he was supporting me, after he got out of the bus he is waiting for me to come outside so he can fight me. after he used his phone to call one of his friend, his friend comes and also calling me out together so they bouth can fight me, they come up to my window and calling me all sorts of names. and continually swearing and shouting at me. i called code red and ask them to call police after the police attends they bought left the site, i gave statements to the police. and continued my duty as normal.",542601,18,6pm-10pm,2023,Qtr 3,July,13,IRIS,Barking Road,1689954399,July,7,183544,3,1899-12-30 18:25:00,66300,1163345,Bus Driver,Thursday,2023
BARKING & DAGENHAM,128,Assault,3,1673267585,2023,Qtr 1,January,9,2023,Qtr 1,January,24,2459953,20230108,8,"A female passenger in her 40s had fainted and fallen, banging her head on the back step. She called for LAS-ref 3363, but was told that there were no ambulances available and the patient should make their own way to hospital. A couple of other passengers managed to converse with her and her family. The family eventually collected her.

While our driver was dealing with the woman on the floor, an elderly white male- aged 65+ came up behind our driver and jabbed her her sharply in the kidneys, saying, ""Why don't you do the right thing and take her to hospital by bus?""

There is a Code Red refference of 309

Our driver isn't sure if this man was a passenger on her bus, an intending passenger or a passenger from another 128- Fleet 10148 with Mr. Moyur Rahman- 5356196--which had broken down. He was ranting at her and eventually alighted, but she is unsure where he went .

Our driver was able to collect other passenger details",546237,17,2pm-6pm,2023,Qtr 1,January,8,IRIS,Green Lane,1674564312,January,1,186987,1,1899-12-30 17:30:00,63000,1103134,Bus Driver,Sunday,2023
BARKING & DAGENHAM,128,Assault,3,1692971925,2023,Qtr 3,August,25,2023,Qtr 3,August,30,2460182,20230825,25,"Heading towards Romford, our driver saw a people-carrier-Possibly a Vauxhall Zafira-unsure of colour or registration mark, attempting to turn right from Greenside into Green Lane.

He flashed the TP as if to say "" I'm giving you room to pull out"". The TP started to pull out but sat in the middle of the road. Our driver tooted  to say ""keep moving"". The TP driver had been on the 'phone during this manoeuvre. The TP turned right and came parallel with the bus' open cab window.

The TP then shouted at our driver ""F*****g P*** C**t, innit"". He then spat at our driver. Most of the spit fell outside of the bus, but a little ended up on the driver, but insufficient for a swab to be taken. Our driver was angry, but sacred and retorted.

Our driver was unwilling to risk any further assaults so decided to move off. He suddenly became aware of a bang and when he looked , his windscreen was cracked.

He looked at the floor and there was a heavy grey and black blue tooth speaker  on the floor. He moved it out of the way with his foot.

Our driver called Code Red but had no response. He moved to the next bus stop where he received a call back. The few passengers on the bus all alighted and the driver returned to NSG where the speaker was retrieved by one of the engineers and given to J. Merivale for collection by the Police.

Neither the driver, the engineer nor J. Merivale have handled the speaker without using blue gloves.",547148,13,10am-2pm,2023,Qtr 3,August,25,IRIS,Green Lane,1693391259,August,8,186992,0,1899-12-30 13:00:00,46800,1178600,Bus Driver,Friday,2023
BARKING & DAGENHAM,147,Assault,3,1694344922,2023,Qtr 3,September,10,2023,Qtr 3,September,14,2460197,20230909,9,Passenger standing at closed bus stop chased the bus down and then when boarded the bus became violent and abusive to driver. Code red made and police called,542188,14,2pm-6pm,2023,Qtr 3,September,9,IRIS,Barking Road,1694672997,September,9,183456,1,1899-12-30 14:31:00,52260,1185535,Bus Driver,Saturday,2023
BARKING & DAGENHAM,173,Assault,3,1694750987,2023,Qtr 3,September,15,2023,Qtr 3,September,20,2460202,20230914,14,I stopped at the stop opposite morrisions.  I opened both doors to allow passengers to board and alight.  As i was about to leave two youths boarded the bus and tried to board the bus with out paying. I told them they had to pay and they laughed at me.  I opened the cab door to reason with them and one of them slammed the door on my hand this happened twice.  While all this was happening his white accomplice went upstairs . the black male stayed at the cab laughing. I told him they had to pay or leave or i would shut down the bus and call for assistance.  At this stage i came out of the bus and stood on the pavement and called the police. As i felt vulnerable i called the police on the phone. Whilst talking to them the youths realised i was on the phone they slowly left the bus and after they left the bus i continued on my journey.  At the next stop St James ave the police called me on my phone and advised me help was on its way but i told them the youths had left and i no longer required assistance. When i was proceeding to chadwell heath a police car pulled me over and they took details of the youths.,548984,13,10am-2pm,2023,Qtr 3,September,14,IRIS,Wood Lane,1695211646,September,9,186751,1,1899-12-30 13:00:00,46800,1187229,Bus Driver,Thursday,2023
BARKING & DAGENHAM,174,Assault,3,1677921556,2023,Qtr 1,March,4,2023,Qtr 1,March,4,2460004,20230228,28,"Passenger got on a bus trying to invade paying fare. Upon trying to stop him, he became aggressive by banging driver cab door. Driver got out the driver cab , stoping him halfway on stairs. Passenger came down saying abusive words and conforts driver face to face. Driver pushed him back, trying to get him off the bus using the back door. Fellow passengers came to descalate the incident. Driver went back to driver cab .",549492,7,6am-10am,2023,Qtr 1,February,28,IRIS,Hunters Hall Road,1677921556,February,2,185377,4,1899-12-30 07:15:00,26100,1119442,Member of Public,Tuesday,2023
BARKING & DAGENHAM,174,Assault,3,1681545295,2023,Qtr 2,April,15,2023,Qtr 2,May,4,2460047,20230412,12,Two passengers came to the bus one paid the second one with two oysters cards with no money on any one of them asked me if she can go until Dagenham Heathway I said no and them she called me a rude person the other one as well and them she spit at the bus driver cabin door.,549430,18,6pm-10pm,2023,Qtr 2,April,12,IRIS,Oxlow Lane,1683206818,April,4,185813,3,1899-12-30 18:27:00,66420,1130353,Bus Driver,Wednesday,2023
BARKING & DAGENHAM,174,Assault,3,1695636032,2023,Qtr 3,September,25,2023,Qtr 4,October,4,2460209,20230921,21,Cut to his hand cut to his neck and a loose tooth.,550391,6,6am-10am,2023,Qtr 3,September,21,IRIS,Park Drive,1696425043,September,9,186201,4,1899-12-30 06:20:00,22800,1190465,Passenger / Customer,Thursday,2023
BARKING & DAGENHAM,175,Assault,3,1689688325,2023,Qtr 3,July,18,2023,Qtr 3,July,18,2460143,20230717,17,"I handed over the bus to my relief driver at Reinham Road North as route was on diversion. As we were changing over passenger came from upper deck and started swearing and shouting at us to move. We told him that we are changing drivers and will be on the move soon. He left but came back soon after and started again. He then called two girls from the top deck and was telling them to hit me in the face. One of the girls hit me with bouquet she was holding and then both started attacking me by punching me and pulling my hair. I was trying to protect my self but they were two and stronger then me. I remember several times I was on the floor or been pushed to the seats. 
I remember boy was kicking and punching drives cab door trying to get to my colleague.
When police arrived at the scene they tried to run. Police went after boy and I run after one of the girls. 
Police asked for statement but I was not in the state to talk so driver that took over from me gave statement. I gave police my email and they said they will email me with updates.",549588,22,10pm-2am,2023,Qtr 3,July,17,IRIS,Rainham Road North,1689688325,July,7,186701,1,1899-12-30 22:54:00,82440,1164000,Bus Driver,Monday,2023
BARKING & DAGENHAM,175,Assault,3,1695140781,2023,Qtr 3,September,19,2023,Qtr 3,September,19,2460206,20230918,18,"Passenger got on my bus and did not have means of paying for his fare when ask to provide another means of payment to ride he snapped at me and started verbally and racially abusing me, and punching and kicking the cab door.He kept asking for me to leave the cab but i stayed inside my cab until he eventually gave up and got off the bus, i closed the doors and continued on my journey.",547462,18,6pm-10pm,2023,Qtr 3,September,18,IRIS,Wood Lane,1695140781,September,9,185770,1,1899-12-30 18:00:00,64800,1188399,Bus Driver,Monday,2023
BARKING & DAGENHAM,175,Assault,3,1695410475,2023,Qtr 3,September,22,2023,Qtr 3,September,22,2460210,20230922,22,"After challenging a fare evader the young man started to punch the cabin door and then came over to the offside cabin mirror were an argument occured.
 The young man was threatening and would not listen to reason and slap me through the open cabin window; that point I was provoked out of the cabin.
  as I rushed out he punched me in the face bursting my lip and the a scuffle occured and the the young man then went away.",549090,18,6pm-10pm,2023,Qtr 3,September,22,IRIS,Nutbrowne Road,1695410475,September,9,183780,0,1899-12-30 18:10:00,65400,1189853,Bus Driver,Friday,2023
BARKING & DAGENHAM,287,Assault,3,1687689132,2023,Qtr 2,June,25,2023,Qtr 2,June,25,2460120,20230624,24,"Passanger on the bus was shouting and becoming very abusive as a i asked for a young person for a valid ticket or companied by an adult.
The passanger who was abusive made all sorts of accusations against me so I did a code red. He then left the bus",546351,21,6pm-10pm,2023,Qtr 2,June,24,IRIS,Ripple Road,1687689132,June,6,183694,1,1899-12-30 21:00:00,75600,1154231,Bus Driver,Saturday,2023
BARKING & DAGENHAM,304,Assault,3,1689846940,2023,Qtr 3,July,20,2023,Qtr 3,July,20,2460145,20230719,19,"I was waiting at the barking road lights when I was approached by a man , he was talking but I couldn’t hear him until he started walking across the bus to my side and I heard him saying that I did not stop to pick him up.
I explained to him that he was not at the bus stop and that I had to continue normally and to my surprise he had a swing at me. He punch me right in my face. I called for police assistance on the code red button.",544289,16,2pm-6pm,2023,Qtr 3,July,19,IRIS,Clockhouse Avenue,1689861996,July,7,183996,1,1899-12-30 16:19:00,58740,1164770,Bus Driver,Wednesday,2023
BARKING & DAGENHAM,364,Assault,3,1666088714,2022,Qtr 4,October,18,2022,Qtr 4,November,4,2459871,20221018,18,"Colleague had incident with another car along Goodmayes Lane just before Goodmayes Station. I pulled next to him and saw the man taking pictures of the bus and car (the bus was not touching his car).He was driving a black BMW suv with a baby in the backseat. Driver asked me for a bump card and the man has a go at the driver saying the driver was in trouble and he will  make sure he looses his job. I said to him ""really that's what you are after for another man to loose his job.. Just move, he then turned around and called me the"" N"" word. I turned around and said to him look at the words coming out of your mouth and continued with my journey.",546544,8,6am-10am,2022,Qtr 4,October,18,IRIS,Goodmayes Lane,1667580882,October,10,187495,0,1899-12-30 08:55:00,32100,1078650,Bus Driver,Tuesday,2022
BARKING & DAGENHAM,364,Assault,3,1692945373,2023,Qtr 3,August,25,2023,Qtr 3,September,1,2460181,20230824,24,"I'm at Parsloes Ave waiting to turn right into Porters Ave heading towards Ilford, when the road is clear i move forward. As they always do (yes we get cut off all the time) the ""bus bully"" driving a silver 2012 Nissan Qashqai REG YH62FDJ from my left puts his foot down and goes racing and cuts me off to turn from where I'm coming (Parsloes Ave). I mention to him that its a roundabout and even gesture the shape of a roundabout. He replies he doesn't care, i repeat, and this time he jumps out of his car, i think he had his phone in his hands while driving because i see him put the phone away. He come up to my window and shoves his finger in my face. I'm calm, composed but in disbelief. He goes on with threats, insults and all the good stuff. I couldn't really take him seriously because all this was unreal and was thinking how would you like it if someone shoved his finger in your face. So i put my finger in his face. He explodes in anger grabs my left index finger and arm with both his hands, my palm was pointing downwards. He proceeds with force to twist my hand so that my palm is facing upwards and then tries to break my index finger. Yes he pulled and twisted my arm and then tried to break my left index finger. I was still calm and composed and encouraged him to ""brake it"" and that not to worrie as this is a assault and police are on their way. I tried doing a code red when i was free but did not held it long enough apparently. He again says he doesn't care and lets go when he notices the FedEx driver jumping from his van to come in my defence. The ""bus bully"" jumps in his car and drives away mocking me while repeating he doesn't care and giving me the middle finger even when told to not go and await for the police. The nice FedEx driver was kind enough to give me his phone number as a witness to all this. What could i have done to prevent this. Nothing, i was cut off, insulted and assaulted. You can do whatever you want to a bus driver and nothing will happen to you, change my mind.",547810,13,10am-2pm,2023,Qtr 3,August,24,IRIS,Parsloes Avenue,1693582358,August,8,185736,1,1899-12-30 13:47:00,49620,1178739,Bus Driver,Thursday,2023
BARKING & DAGENHAM,366,Assault,3,1667400309,2022,Qtr 4,November,2,2022,Qtr 4,November,2,2459886,20221102,2,"Whilst serving barking London road bus stop 3 members of the public two male and 1 female decided they would enter via the rear doors. As I was coming off I moved the bus forward to the live change over point. 
I came out of my cab to change over and asked the 3 members of the public to come and pay the fare. One of males started getting more irate when the driver I changed over with asked to pay or leave the bus. 
The male then proceed towards me down the bus quite angry and started to get a bit physical. This is when they decided to leave the bus but still became a bit physical off the bus. I received numerous threats and was also grabbed by throat by this male individual. Luckily there were numerous drivers at the stop to deescalate the situation. The 3 members of the public walked off and I then myself walked back to the garage.",543976,12,10am-2pm,2022,Qtr 4,November,2,IRIS,London Road,1667400309,November,11,184119,0,1899-12-30 12:24:00,44640,1083566,Bus Driver,Wednesday,2022
BARKING & DAGENHAM,366,Assault,3,1669143753,2022,Qtr 4,November,22,2022,Qtr 4,November,29,2459906,20221122,22,"I served London Road bus stop going to towards Redbridge  at 10.51am. I served black passenger on board with his dog on last minute.  I opened the door half way and asked him politely twice to put the dog  leash, he refused and he aggressively slammed the cad on me and verbally abusive. So I called the  code red it didn't work properly and I called the ibus they told to hold the red button for couple of second to work. So I done that and called the code red again and asked for police, in the meantime the black male verbally assault me, calling me ""paki "" and shouted  at me and my religion Islam.  Other passenger tall guy approached me, to me to refund his money, I don't him we don't do that.  So he got violently aggressive and started yelling at me and punching the cab door and took a picture of me, threatening me and he left the bus. Shortly afterwards  everyone left the bus whilst i was waiting for the police. The black male came back on the bus with his dog by pressing the red button and speaking to and be abusive.  Shortly 3 community office came and dealt with this individual( black male) he was very aggressive towards the community police and one police officer started calling them names and racist comment.  10 to 15 minutes later polive van came and arrested the black male.  I was comforted by the community police officer.  And I've given my statement to police",543976,10,10am-2pm,2022,Qtr 4,November,22,IRIS,London Road,1669740626,November,11,184119,0,1899-12-30 10:51:00,39060,1089654,Bus Driver,Tuesday,2022
BARKING & DAGENHAM,366,Assault,3,1669279462,2022,Qtr 4,November,24,2022,Qtr 4,November,24,2459907,20221123,23,"I was picking up the passengers from Barking Station 366 stand on Station Parade at around 1247-1249pm. One tall heavy build african man passed and sat on the last row of seats in the bus. I asked him to come and scan his card/ticket. He ignored me and I switched the bus ignition off. There was a lady standing next to the ticket machine who said to the man “can you please come and scan your ticket as we all have to go home”.

The perpetrator got up and walked up to the lady and attacked her, punching her 2-3 times saying “what did you say, what did you say”. After the attack perpetrator just walked off towards Barking roundabout and Longbridge Road.

I asked the lady whether she is okay and she informed me that she is on the telephone call to police. 

I then called IBus and was advised to use Code Red. I called and informed them about the incident while the lady was speaking to the police.

In the last the victim told me that police are not attending the scene but informed me that they will go through the CCTV footage from the bud. She also confirmed that she is okay and asked me to drive the bus. I called CodeRed and informed them about the situation and they asked me to carry on with the route.",544401,12,10am-2pm,2022,Qtr 4,November,23,IRIS,Station Parade,1669279462,November,11,184264,1,1899-12-30 12:47:00,46020,1090330,Passenger / Customer,Wednesday,2022
BARKING & DAGENHAM,366,Assault,3,1678277544,2023,Qtr 1,March,8,2023,Qtr 1,March,31,2460012,20230308,8,Speeding car at round about driver complaint as I was passing sunny side road both vehicle breaked didn’t have any contact and then I drove off and as I was turning into eton road she came and cut me up and parked in front and  she was abusive and then I said sorry and then she kick the bus but no damage,544566,8,6am-10am,2023,Qtr 1,March,8,IRIS,Mortlake road,1680276233,March,3,186066,0,1899-12-30 08:30:00,30600,1120860,Bus Driver,Wednesday,2023
BARKING & DAGENHAM,368,Assault,3,1673355175,2023,Qtr 1,January,10,2023,Qtr 1,January,31,2459955,20230110,10,"I was the driver of DW253 VRM LJ59AAZ on route 368 at the Harts Lane Estate stand heading towards Chadwell Heath. I was RACIALLY verbally abused by 2 black womens aged 35-50 calling me A BLACK ASS HOLE, BLACK FUCKING NIGGA, FUCKING STUPID CUNT etc, all because I asked one of them to tap a device on the oyster reader. All 2 females dressed in black clothings ( long sleeves puffy jackets) and the one who was being more vocal towards me had a clear see through glasses one (reading glasses). both had backpack on with them.

I reported the incident to NMCC via code red who dispatched the police to attend where my bus was located.",543833,10,10am-2pm,2023,Qtr 1,January,10,IRIS,Harts Lane,1675143653,January,1,184541,0,1899-12-30 10:38:00,38280,1103289,Bus Driver,Tuesday,2023
BARKING & DAGENHAM,5,Assault,3,1676633729,2023,Qtr 1,February,17,2023,Qtr 1,February,22,2459992,20230216,16,"I picked up a group of girls from Plaistow Greengate heading towards East Ham, After a short time I heard commotion from the upper deck, that seemed like people fighting. I made an announcement, telling them to behave on the bus, and they did stop, but only for a short time as I was approaching Hight Street  Bus stop they started again so after stopping at the bus stop, I went upstairs and straight away saw a girl sitting in the nearside middle seat being repeatedly being punch in the face by another girl and was not fighting back, or even stand up to defend herself. I came between after which another larger girl came forward threatening the girl who had been assaulted, I told the girl being attacked to go downstairs and made my way down, I opened the door and told them to get off the bus, they all got off the bus, including the girl who was assaulted. The girls started to make phone calls and I was worried that the girl would be further assaulted, so I brought the girl back and took her on my bus to the next stop which was Town Hall, I done a code red and called for assistance and was told to wait for the police, I transferred the passengers and the police arrived soon after, while we where with the police I was informed by a passenger who witnessed the incident that two girls have just walked passed who are friends of the other girls and was told by the girl she was attacked by one of those girls previously at school and had reported it to her school. The police took details and said they will contact the school and our company, they then dropped the girl home.",542567,14,2pm-6pm,2023,Qtr 1,February,16,IRIS,Barking Road,1677073421,February,2,183569,1,1899-12-30 14:30:00,52200,1114471,Passenger / Customer,Thursday,2023
BARKING & DAGENHAM,5,Assault,3,1677499419,2023,Qtr 1,February,27,2023,Qtr 1,March,10,2460001,20230225,25,Passenger spit on assault screen.,542630,22,10pm-2am,2023,Qtr 1,February,25,IRIS,Barking Road,1678443190,February,2,183541,2,1899-12-30 22:00:00,79200,1117323,Passenger / Customer,Saturday,2023
BARKING & DAGENHAM,5,Assault,3,1679076876,2023,Qtr 1,March,17,2023,Qtr 1,March,21,2460020,20230316,16,"2 young ladies got on the bus at Barking station bus stop towards CT.And one of them asked me the time and I answered 8:10am and than gentleman was asking me question but I didn’t get the question and asked gentleman to repeat but at that time one of the girl start arguing with the guy who asked me the question.She was aggressively shouting at him tell him to shut up pay his bus fare.All i heard from the guy who are you to telling me to the pay.And than she walked to my cabin door and start shouting at me that she said she working for TFL and the guy pushed her and didn’t even pay the fare why am i not telling him to leave the bus.I asked girl to take a seat and relax i’ll deal with the gentleman.She start recording us and than walked upstairs with shouting and swearing at both of us!I asked gentleman to tap oyster if he wanna take the bus.He tap his oyster and walked in.But she was swearing at me an start using mother word!! i have recently lost my mum.I just got upset after she start swearing my mum.Just came of the cab asked lady to leave the bus but she refused.And other passengers start asking me to carry on with please some of them said running late to work some of them said their kids running late to school.Because of the other passengers I asked girl to stop and I carry on driving.But from station bus stop to North street bus stop she was shouting from upstairs good boy you have to drive u mother ....ext.I stop the bus apologies to passengers and let them know I can’t carry on with that girl on the bus.And she start arguing with others passengers and throw something to downstairs .I called code red , police arrived in shortly after my call.They took her out asked me the story and i explained what happened and he said all good i can carry on if i’am happy to carry on without her i said yes.Before I move out she was in front of the bus and recorded me and bus.Officer moved her and I carried on.On my break time i had seen same police officer at the London road and he said she was swearing at him as well!",544500,8,6am-10am,2023,Qtr 1,March,16,IRIS,Station Parade,1679408571,March,3,184406,1,1899-12-30 08:12:00,29520,1123704,Bus Driver,Thursday,2023
BARKING & DAGENHAM,5,Assault,3,1692247470,2023,Qtr 3,August,17,2023,Qtr 3,August,21,2460174,20230817,17,Driving along Wood Lane when a lady only dressed in a nightgown no shoes stopped me in the road .I pulled over ask her if she was ok.she then told me she had been raped by her neighbour.I said are w telling me you have been raped she said again yes. I only three other passengers who fully understood the seriousness and departed the bus.Police were called and we waited tfor them to attend.,548781,1,10pm-2am,2023,Qtr 3,August,17,IRIS,Wood Lane,1692611502,August,8,186231,0,1899-12-30 01:30:00,5400,1175032,Member of Public,Thursday,2023
BARKING & DAGENHAM,5,Assault,3,1696586934,2023,Qtr 4,October,6,2023,Qtr 4,October,6,2460220,20231002,2,A male came up started asking silly questions and after that started being racist by commenting on my ethnicity and color. He was a black male height 5’6 . He also threatened me by saying open the door and saying you finish work ill see u after. Then forcefully he went in bus without paying stayed there for minutes and then went off.,544517,11,10am-2pm,2023,Qtr 4,October,2,IRIS,Longbridge Road,1696586934,October,10,184426,4,1899-12-30 11:00:00,39600,1194249,Bus Driver,Monday,2023
