Data Ref Num,EIRF,DUP,Date,YEAR,MONTH,WEEKDAY,Time,HOUR,LOCATION,Area within Station,Area within Station (2),DESCRIPTION,Incident Classification,Harm Score,Victim's Job,Number of victims,Trigger 1,Trigger 2,SPIT,HATE,INTOX,RS/Beg,WEAP,YOUTH,REC,NOTES,PERIOD,WEEK,Reminder Flag,DESCRIPTION_IMMEDIATE_ACTIONS,HSE_INCIDENT_REFERENCE_NO,CRIME_REFERENCE_NO,DIM_INC_LOGGED_DATE_IEX_DWK,Summary
UK_IRF001298126,X,,23/09/2023,2023,SEP,SAT,02:00,2,Turnham Green,Booking Hall,,"At approximately 02.00 hours CSS heard knocking on the window while preparing first aid items for customer who cut his finger on the station. 
Caucasian male who was knocking was wearing a brown hat, green jacket, blue jeans and black shoes. He was about 5 foot 9 inches tall and had a blond moustache
He told the CSS that he was sleeping for several hours in the waiting room last night and that he was woken up by station staff this morning at about 7 oclock and now he cant find his Nokia phone. 
CSS said that nothing was found in the waiting area, and nothing was handed in matching that description.
CSS asked the male if he was mistaken because he would not be sleeping there for several hours unnoticed. 
The male said he was sure it was Turnham Green station, and he was very intoxicated. 
The male asked the CSS if he was the one who was there last night. 
CSS confirmed that CSS was here overnight and definitely did not see the male before. 
The male asked if the cleaner was black or white and if the cleaner was working now.
CSS told him that was not important to the situation.
The male said if he found that they have his phone at Turnham Green he will come back and Take his guts out
The male also said, When Im done with them there would be nothing left.
CSS said he doesnt want to listen to any more of this and backed away into the office.
Male tried to enter the office, but CSS slammed the door shut.
Male kicked the door about two or three times then walked away out of the station entrance. 
Report made to British Transport Police.",Threat,,CSS2,,,,,,,,,,,,7,,,Male not pleased with outcome of his lost property inquiry.,UK_IRF001298126,,20230924,"At approximately 02.00 hours CSS heard knocking on the window while preparing first aid items for customer who cut his finger on the station. CSS told him that was not important to the situation. The male said if he found that they have his phone at Turnham Green he will come back and Take his guts out The male also said, When Im done with them there would be nothing left."
UK_IRF001302699,X,,09/10/2023,2023,OCT,MON,02:22,2,Dollis Hill,Station Entrance,,"02:22 - TWO Intruders, a male and a female barged open both sets of gates at the Burnley Road entry/exit. 
*White Male wearing khaki colours jacket with light blue/greyish trousers.
*White Female wearing black jacket with light blue/greyish trousers.
*Both were shouting at CSS aggressively - CSS had to move out the passage way whilst intruders carried on passed him, making their way towards the Chapter Road entry/exit after being told to leave, as the station is closed.
02:24 - CSS rang LUCC 1899 but was told to ring BTP directly.
02:25 - CSS rang BTP 999, made report and request BTP attendance - BTP/ REF:44/09/110/2023
*Intruders spent approximately eight minutes trying to break through the Chapter Road entry/exit gates.
02:32 - Intruders returned, pressing PHP #01 along the passage way, then while passing the SOR they continued swearing at CSS.
02:37 - 3x BTP Officers attended five minutes after intruders went back through Burnley Road exit and left. BTP call sign B44.
*CSS asked BTP Officers to accompany him to the Chapter Road entry/exit to inspect the gate.
*Gate on the right hand side found bent at the top and middle but is still operational.
02:42 - BTP left.
03:03 - Network Operational Manager LUCC rang station to check on CSS wellbeing and to clarify any damages done to the gates.",Verbal,,CSS2,,,,,,,,,,,,7,,,"Alcohol / Drugs intake resulting in aggressive, abusive, antisocial behaviours.",UK_IRF001302699,44/09/10/2023,20231009,"*Both were shouting at CSS aggressively - CSS had to move out the passage way whilst intruders carried on passed him, making their way towards the Chapter Road entry/exit after being told to leave, as the station is closed. 02:24 - CSS rang LUCC 1899 but was told to ring BTP directly. 02:37 - 3x BTP Officers attended five minutes after intruders went back through Burnley Road exit and left."
UK_IRF001303018,X,,10/10/2023,2023,OCT,TUE,06:10,6,Fairlop,Booking Hall,,"at approximately 06:10Hrs Eastern European male approximately 5'8"" with a scar on the bridge of his nose trying to tap through the gate but the Oyster was not working, I asked him to try again and as he did I noticed it was a ZIP 11-15 Oyster card.
He tapped it on the MFM and said it has money on there he has just topped it up, I could also see the photo was deliberately defaced so asked him to hand me the card so I could try it on the gate and as I did I explained to him that the card has been cancelled most likely due to it being reported lost or stolen.
He said no he had just topped it up, I explained that the card does not belong to him and he should not be using it but he replied that the oyster card was his wife's card which was clearly not the case.
I said that was not the case and unless his wife was between the ages of 11-15 this is not his wife's card as this card belongs to a child and has clearly been deliberately defaced.
I asked him his name and he said Vitali which I pointed out was not the name on the card and he continued to explain that he has topped up the Oyster with £30 and showed me his Barclays account as proof he just topped it up with £30 but I explained again that the Oyster is for a child not an adult.
A customer at the machine tried to explain that the male was saying he topped up the card so I explained yes I know however I am not disputing the fact he topped it up with £30 I am saying that card should not be used and that he said it his wife's card but it belongs to a child so unless his wife was between the ages 11-15 then this is not hers.
I continued asking where he got the card from and explaining that the card should not be used by him.
Another customer came into the station and they seemed to be familiar with each other as they had acknowledged each other and he spoke with the customer who had just arrived.
This customer then began to explain so I said what the situation was and he tried to explain to him what I was saying by using translate however this was no good either, another customer came in this time speaking to him in his native tongue and again was questioning if I was keeping the card which I said yes because he is telling me that it was his wife's card but it belongs to a child so they customer smiled and said oh and walked off.
The male stomped out of the station and called me an f.ing c... , I went to the entrance and said that I was not an f.ing c...  but he aggressively rummaged through his bag and pulled out a means for him to get through the gates and called me an f.ing c... again as he passed me.
I used the body cam numbered 256986 
Oyster 0120564558 09",Verbal,,CSS2,,,,,,,,,,,,7,,,Eastern European Adult male using a child Oyster,UK_IRF001303018,,20231010,I said that was not the case and unless his wife was between the ages of 11-15 this is not his wife's card as this card belongs to a child and has clearly been deliberately defaced. I asked him his name and he said Vitali which I pointed out was not the name on the card and he continued to explain that he has topped up the Oyster with £30 and showed me his Barclays account as proof he just topped it up with £30 but I explained again that the Oyster is for a child not an adult. Another customer came into the station and they seemed to be familiar with each other as they had acknowledged each other and he spoke with the customer who had just arrived.
UK_IRF001296978,X,,19/09/2023,2023,SEP,TUE,05:23,5,Holloway Road,Lift (in lift),,"At 05:23 hrs CSM1 reported a fault with Lift2 being stuck at the top landing. Lift1 undergoing refurbishment. 
ACC reference number 56026717.
Upon commencing duty at 06:30 hrs CSM2 directed CSA  to prevent customer entry and the station is set to ""exit only"" adhering to CCEP protocol due to having no lifts in customer operation. All relevant parties informed, ""no lifts"" PAs broadcasting. A request to LIS was made to advise T/ops to inform customers of no lift service at Holloway road.
During this period, the CSA encountered instances of verbal abuse from several customers. Reports include offensive hand gestures and derogatory remarks. CSM2 provided support and duty of care check with the CSA who confirmed he was okay to continue with his duties. This marks the second consecutive day of Lift2 failure leading to heightened customer frustration.
07:41 hrs lift engineer on site.
07:56 hrs Lift2 restored to customer service and station resumed its normal operations. All relevant parties informed.",Verbal,,CSA1,,,,,,,,,,,,7,,,Lift2 Failure resulting in verbal abuse directed at the CSA from members of the public,UK_IRF001296978,,20230919,"During this period, the CSA encountered instances of verbal abuse from several customers. This marks the second consecutive day of Lift2 failure leading to heightened customer frustration. 07:56 hrs Lift2 restored to customer service and station resumed its normal operations."
UK_IRF001301790,X,,05/10/2023,2023,OCT,THU,05:58,5,Finsbury Park,Lift (in lift),,"05:58 CSM  L.O was travelling to work, when she arrived at the top landing of lift # 1 at Finsbury Park When the lift arrived there was a vagrant sleeping in the lift, she said a customer had tried to get in the lift also  but could not as the male vagrant was sleeping on the floor.
CSM L.O  advised the male vagrant he can not sleep inside the lift but he stated he was only going to be in there for an hour.
CSM used her mobile phone to control FPK control room  as she was on the phone the male vagrant got up and walked out of the lift. CSM L.O entered the lift and as the doors were about to close, the male vagrant spat in her face. CSM L.O  was still on the phone to the at the time to FPK control room and advised FPK CSM of the incident, Male vagrant walked out of the station via city north exit.
06:00 BTP contacted ref 05/10/23/69.
CSM L.O came to the control room, BTP arrived 06:13 and spit kit sample taken. 
06:20 CSM J.P arrived on duty and took over the situation. Duty of care given.
06:30 BTP departed and 06:45 CSM L.O departed on her way home.",Threat,,CSM2,,,,,,,,,,,,7,,,CSM was travelling to work and was spat in her face by vagrant who was sleeping in the lift at FPK.,UK_IRF001301790,,20231005,"CSM used her mobile phone to control FPK control room  as she was on the phone the male vagrant got up and walked out of the lift. CSM L.O came to the control room, BTP arrived 06:13 and spit kit sample taken. 06:20 CSM J.P arrived on duty and took over the situation."
UK_IRF001301755,X,,05/10/2023,2023,OCT,THU,06:01,6,Goldhawk Road,Platform,,"Train Operator (T262) detrained at Goldhawk Road following request from Line Controller train will be ONA on the EB.

Train Operator was verbally assaulted whilst detraining at Goldhawk Road .

Train Operator after receiving the verbal abuse took T262 to HMS.

Train Manager at HMS was able to check on Operator and confirmed Operator will not be able to carry on with their duties. Operator was 

then sent to TM at Barking who will check on Operator. (Duty of care)

Memo was requested from Operator with specifics of what was said this has been sent to DRM. Available on request.

Operator was seen by TM at Barking confirmed Operator has not booked off sick but will update TM in due course as Operator has annual leave coming up.",Verbal,,TO21,,,,,,,,,,,,7,,,Customer Service - Anti Social - Other Anti Social.. T/OP verbal assault when trying to detrain. Person refused to get off train. Train continued to HAM.,UK_IRF001301755,,20231005,Train Operator was verbally assaulted whilst detraining at Goldhawk Road . Train Operator after receiving the verbal abuse took T262 to HMS. then sent to TM at Barking who will check on Operator.
UK_IRF001301053,X,,01/10/2023,2023,OCT,SUN,04:50,4,Hammersmith,Platform,,"On SUNDAY 1st OCTOBER 2023 at 04:50hrs I was in the managers office in the process of completing a handover report for the next shift manager. At this time, I received a radio call from the control room informing that they were observing a member of public laying on the floor of the SOUTH BRIDGE which is an area of the station which is currently closed to the public.
My colleague CL and I made way to check on the passenger. When we arrived, I observed a person I would describe as a MALE, appeared to be of INDIAN appearance, in his late 40s, 5ft 11 tall, average build, medium length BLACK GREYING hair, light facial hair, wearing BLACK shoes, BLACK combat style trousers and KHAKI GREEN hooded jacket with hood up, rolling about on the floor, so my colleague CL first asked him to get up however he ignored her request. I then asked him to get up to which he responded by stating, I WILL PUNCH YOU WHEN I GET UP. I then informed him that I was going to call the police and I made my way to the managers office where I requested police attendance. BTP ref 076 01.10.2023 was given.
Whilst awaiting police attendance, I was informed through my colleague CL that INDIAN MALE, had got up on and was walking towards EASTBOUND PLATFORM. I then made my way back to my colleague who was still at SOUTH BRIDGE part of the station where we followed INDIAN MALE to the EASTBOUND PLATFORM. Once we were on the PLATFORM, I observed INDIAN MALE towards the HEADWEALL side of the platform, rolling on the floor, under a platform seat. I requested for my colleague CL to return to the control room, to request a male member of staff to assist. One of the Customer Service Assistants EW (BB47) came down to the platform to assist as I needed to use the toilet. Whilst on my way there, I received a radio call from my colleague on the platform informing me that INDIAN MALE had now gone beyond the platform end barrier and was laying on the other side of the barrier. I immediately returned to the platform where my colleague AA (BB49) was conducting his 5pm station check. At 05:15hrs I arrived and INDIAN MALE got up and walked down the PLATFORM END RAMP and which is considered to be trackside. At this point, 05:15hrs I requested to the PICCADILLY SERVICE CONTROLLER to switch all power off due to a trespasser on the track. I began to request for INDIAN MALE to return to the platform however INDIAN MALE ignored my request and began to walk on the tracks onto the EASTBOUND DISTRICT LINE track. INDIAN MALE began walking back and forth between EASTBOUND DISTRICT LINE track EASTBOUND PICCADILLY LINE track.
I then observed INDIAN MALE climb onto the signal post and he requested for us to let train run. INDIAN MALE then came down from the signal post and lay back down on the PLATFORM END RAMP. At 05:28hrs BRITISH TRANSPORT POLICE OFFICERS arrived and hand cuffed INDIAN MALE. I then updated the PICCADILLY LINE CONTROLLER that INDIAN MALE was under control of the BTP OFFICERS and trains could now run at caution speed. At 05:33hrs trains began to run again at caution speed. 05:48hrs more BTP OFFICERS arrived to assist. At 05:57hrs, BTP officers escorted INDIAN MALE from the platform and into their police van.
PICCADILLY CONTROLLERR was then contacted to resume normal service as the platform areas was now clear.",Physical,,CSA1,,,,,,,,,,,,7,,,Trespasser on the eastbound local and fast.,UK_IRF001301053,,20231002,"When we arrived, I observed a person I would describe as a MALE, appeared to be of INDIAN appearance, in his late 40s, 5ft 11 tall, average build, medium length BLACK GREYING hair, light facial hair, wearing BLACK shoes, BLACK combat style trousers and KHAKI GREEN hooded jacket with hood up, rolling about on the floor, so my colleague CL first asked him to get up however he ignored her request. I immediately returned to the platform where my colleague AA (BB49) was conducting his 5pm station check. I then observed INDIAN MALE climb onto the signal post and he requested for us to let train run."
UK_IRF001302554,X,,08/10/2023,2023,OCT,SUN,05:40,5,Bayswater,Office,,"Whilst traveling in to work on the central line OP advised he noticed a group of males trying to pass through the bulkhead doors, he told them not to do it as it was dangerous he was then approached by one of males one of which placed his hand down his (not OP) trousers and asked him if he was Gay and asked for his phone number, OP exited the train at Queensway and the group of males remained on board",Verbal,,CSA1,,,,,,,,,,,,7,,,Unruly Behaviour,UK_IRF001302554,,20231008,"Whilst traveling in to work on the central line OP advised he noticed a group of males trying to pass through the bulkhead doors, he told them not to do it as it was dangerous he was then approached by one of males one of which placed his hand down his (not OP) trousers and asked him if he was Gay and asked for his phone number, OP exited the train at Queensway and the group of males remained on board"
UK_IRF001296462,X,,17/09/2023,2023,SEP,SUN,03:40,3,Westminster,Booking Hall,,"Male approaches CSA on gate line and tells him he wants an ambulance and police called as he has broken his hand in a fight outside station. CSA talks to male who then becomes racially abusive towards the cleaners.
Male then produces a knife from his backpack and threatens to stab everyone within the station if he doesn't get an ambulance and police called immediately
CSA made way to control room whilst the male continued to be abusive towards the cleaning crew.
Male is allowed through gate by another CSA not knowing what was going on, he then sits down next to one of the cleaners and begins to racially abuse him. Contractors move away from the male and move to the unpaid side where the man then follows kicking open the Wide aisle gate.
Male sees the CSA in control room and starts to gesticulate at him before picking up a tensile barrier and acted in a threatening manner.
Male paced up and down the ticket hall before coming back to pick up the tensile barrier and smash it against the control room glass window breaking the glass in the process.
Male then exits station at the exact time that the BTP arrived on scene",Threat,,,,,,,,,,,,,,7,,,"Male is arrested and statements taken form those involved
Job to be raised for the broken glass",UK_IRF001296462,86,20230917,"CSA talks to male who then becomes racially abusive towards the cleaners. Male then produces a knife from his backpack and threatens to stab everyone within the station if he doesn't get an ambulance and police called immediately CSA made way to control room whilst the male continued to be abusive towards the cleaning crew. Male is allowed through gate by another CSA not knowing what was going on, he then sits down next to one of the cleaners and begins to racially abuse him."
UK_IRF001296462,X,,17/09/2023,2023,SEP,SUN,03:40,3,Westminster,Booking Hall,,"Male approaches CSA on gate line and tells him he wants an ambulance and police called as he has broken his hand in a fight outside station. CSA talks to male who then becomes racially abusive towards the cleaners.
Male then produces a knife from his backpack and threatens to stab everyone within the station if he doesn't get an ambulance and police called immediately
CSA made way to control room whilst the male continued to be abusive towards the cleaning crew.
Male is allowed through gate by another CSA not knowing what was going on, he then sits down next to one of the cleaners and begins to racially abuse him. Contractors move away from the male and move to the unpaid side where the man then follows kicking open the Wide aisle gate.
Male sees the CSA in control room and starts to gesticulate at him before picking up a tensile barrier and acted in a threatening manner.
Male paced up and down the ticket hall before coming back to pick up the tensile barrier and smash it against the control room glass window breaking the glass in the process.
Male then exits station at the exact time that the BTP arrived on scene",Threat,,,,,,,,,,,,,,7,,,"Male is arrested and statements taken form those involved
Job to be raised for the broken glass",UK_IRF001296462,86,20230917,"CSA talks to male who then becomes racially abusive towards the cleaners. Male then produces a knife from his backpack and threatens to stab everyone within the station if he doesn't get an ambulance and police called immediately CSA made way to control room whilst the male continued to be abusive towards the cleaning crew. Male is allowed through gate by another CSA not knowing what was going on, he then sits down next to one of the cleaners and begins to racially abuse him."
