File1_Index,File2_Index,File1_Description,File2_Description,Similarity_Score,EIRF_Location,EIRF_Date,WAASB_Location,WAASB_Date
370,2276,"earls court road , white guy 55 years dark blue t-shirt blue jeans racially abused calling paki verbal abuse . european intoxicated . scarring ladies made jump . asked nicely approach customers scarring . - anti-social behaviour - unprovoked / - employee request support manager . btp ref 583","earls court road , white guy 55 years dark blue t-shirt blue jeans racially abused calling paki verbal abuse . european intoxicated . scarring ladies made jump . asked nicely approach customers scarring .",0.9154875,Earls Court,2023-09-10,Earls Court,2023-09-10
430,2974,"per camille 's waasb report : white eastern european double gated behind passenger gate 45. unpaid side , walked put hand move back asked ticket . said i dont need one left station . came back 3 mins later taking pictures . said lost oyster card told watch . explained ask let , kept threatening . left station . incident filed btp intelligence report camille want go prosecution . advised notify btp sees perpetrator go place safety call .","white eastern european double gated behind passenger gate 45. unpaid side , walked put hand move back asked ticket . said i dont need one left station . came back 3 mins later taking pictures . said lost oyster card told watch . explained ask let , kept threatening . left station",0.87545073,Earls Court,2023-09-19,Earls Court,2023-09-19
514,2916,"2 white males wearing black hoodies , one red writing front pushed passed making contact . challenged told recorded called bitch ass nigger given finger one goatee beard . - physical assault - employee request support manager csa 9828149 given duty care . bwc footage ( tag requested ) cctv viewed cameras 315 316 317 pertain","2 white males wearing black hoodies , one red writing front pushed passed making contact . challenged told recorded called bitch ass nigger given finger one goatee beard .",0.7569089,Victoria,2023-10-02,Victoria,2023-10-02
515,2916,"2 white males wearing black hoodies , one red writing front pushed passed making contact . challenged told recorded called bitch ass nigger given finger one goatee beard . - physical assault - employee request support manager csa 9828149 given duty care . bwc footage ( tag requested ) cctv viewed cameras 315 316 317 pertain","2 white males wearing black hoodies , one red writing front pushed passed making contact . challenged told recorded called bitch ass nigger given finger one goatee beard .",0.7569089,Victoria,2023-10-02,Victoria,2023-10-02
523,2922,"man came escalator wheelchair swearing help get escalator . ran foot 3 times hitting wheelchair . started racist , threatened kill , twice . captured bwv 256138 approx . 23:05. approx . 60 years old , wheelchair due disability . - physical assault - employee request support manager","man came escalator wheelchair swearing help get escalator . ran foot 3 times hitting weelchair . started racist , threatened kill , twice . captured bwv 256138 approx 23:05. approx 60 years old , wheelchair due disability .",0.8889734,Walthamstow Central,2023-10-04,Walthamstow Central,2023-10-04
524,2922,"man came escalator wheelchair swearing help get escalator . ran foot 3 times hitting wheelchair . started racist , threatened kill , twice . captured bwv 256138 approx . 23:05. approx . 60 years old , wheelchair due disability . - physical assault - employee request support manager","man came escalator wheelchair swearing help get escalator . ran foot 3 times hitting weelchair . started racist , threatened kill , twice . captured bwv 256138 approx 23:05. approx 60 years old , wheelchair due disability .",0.8889734,Walthamstow Central,2023-10-04,Walthamstow Central,2023-10-04
577,2293,approx 1100 - lady tried double gate praed st entrance csa 1 intervened told lady leave station lady aggressive talking loud german back csa 1 lady double gated back repeated x2 eventually lady stayed unpaid side gate line . csa 1 made aware situation spoke lady asked politely leave station refusing travel lady responded ! ! ! ! ! ( lady speak lot english ) called police refusing leave station approx 1115 - 2 btp arrived ( badge . 5718 ) approx 1125 - another 3 officers arrived btp spoke csa 1 csa 2 witnessed incident btp took lady away approx 1137,"csa said couple tried entering wag trouble contactless card even go help insisted let rude manner helped resolve issue advised theres need rude helping , turned back started swearing , made threat say uniform would escalated situation approached side gate pushed violently .",0.75924104,Paddington,2023-10-10,Paddington,2023-05-01
625,1239,"18:35 - whilst covering wag21 , faulty time two potential double gaters approached wag started displaying antisocial behaviour . activated body worn camera started record waiving phones next face . requested step back became extremely aggressive waived radio asking step away personal space . threatened verbally assisted find place safety css carlos teixeira .","whilst covering wag due faulty gate two potential double gaters approached wag started displaying antisocial behaviour , activated body worn camera started record waiving phones next face . requested step back became extremely aggressive waived radio asking step away personal space . threatened verbally assisted find place safety css carlos teixeira .",0.89711696,Covent Garden,2023-10-19,Covent Garden,2023-10-19
655,1888,", black customer wheelchair approached csa hossain gate line asked open gate . csa hossain asked use oyster card . customer replied lost oyster card demanded free travel . csa hossain informed 's tfl policy purchase ticket / pay way oyster card lost waiting replacement . customer said 's tfl policy csa hossain 's policy called racist . kept shouting csa hossain started swearing . csa hossain called radio help css betts attended . continued abuse css betts eventually customers friend returned gateline touch correctly . duty care given csa hossain . csa hossain preferred call police .",", black , wheelchair , person valid ticket . however , still wanted free travel . pointed tfl policy purchase ticket . person called racist , started shouting also hand gestures way wants hit .",0.79265106,Whitechapel,2023-10-23,Whitechapel,2023-10-23
656,1913,"23:31hrs , black seen forcing way wag 21 full unfolded bicycle . csa uta explained take full bicycle train . ignored went onto platform board t014 going morden . train operator made announcement . eventually left train 23:34hrs came landing stairs leading platform csm odubela waiting body worn video recording . became aggressive muttering allowed travel 'fuck shit ' . turned csm odubela 23:35hrs threatening manner recording bwv recording . informed cctv recording attempted bring camera 204 jumping get camera . csm proceeded bottom escalator 23:36hrs . came blocked escalator csm csa unable get . asked let staff onto escalator , refused making various threats . eventually got escalator went gate line proceeded push wag 21 23:37hrs went station .","ic3 pushed gate carrying bicycle , approached told hes allowed , started screamed backed away . watched cctv office realised driver wont take . went csm man stated shouting us threatening us . remained silent let leave . kicked plans wet floor signs ticket hall left station .",0.82450336,Clapham North,2023-10-23,Clapham North,2023-10-23
811,1594,"approximately 0020hrs , customer name brunna mccalman  mobile phone # 07783616196 reported white wearing eye glasses dark blue trousers white trainers violently pushed shoved navigating way station gates 3x heavy suitcases . per customer , man apologise stop check . infuriated almost tears narrating incident station staff . narrating incident customer walked back station woman confronted . attempted negotiate man apologise woman . went straight rant swear language , fxxk ? fxxk . kept verbally swearing lady customer mainly telling us fxxk ! ! ! . also said doesnt care report police cares . one touch . infuriated customer started shouting ticket hall . man walked away said doesnt give fxxk follow harold wood cares . could smell alcohol man besides staggering indicating , intoxicated . implored lady report matter police said similar incident happened police nothing care . however gave personal details stated report police behalf tell police call .","csa iqbal gate line white , aged 45-55 gentleman wearing white/grey jacket carrying yellow pole approached quite aggressively saying put £10 oystercard minus . accused us personally stealing money saying lost mother wants smash things and/or kill someone . incredibly rude , threatening aggressive towards us . man screamed left gate line .",0.7605467,Whitechapel,2023-11-17,Whitechapel,2023-01-13
