"Data Ref Num","EIRF","DUP","Date","Year","Month","Weekday","Time","Hour","Location","Area within Station","Area within Station (2)","Description","Incident Classification","Harm Score","Victim's Job","Number of victims","Trigger 1","Trigger 2","SPIT","HATE","INTOX","RS/Beg","WEAP","YOUTH","REC","NOTES","PERIOD","Week","Reminder Flag","DESCRIPTION_IMMEDIATE_ACTIONS","HSE_INCIDENT_REFERENCE_NO","CRIME_REFERENCE_NO","DIM_INC_LOGGED_DATE_IEX_DWK"
"","X","","2020-09-12",2020,"SEP","SAT","10:00","10","","None","","At Pudding Mill Lane, a female ISS cleaner was verbally assaulted by a passenger who used sexual language. BTP have been informed and CCTV of the incident has been reviewed","Verbal","","","","","","","","","","","","","",6,"","","N/A","197655","",20231023
"","X","","2020-09-17",2020,"SEP","THU","10:00","10","","None","","A customer was chased through Cutty Sark station by a group of people. When the group were confronted by two station staff they then verbally abused the LCSO and spat in their direction. A DNA sample has been collected and this has been passed onto BTP.","Threat","","","","","","","","","","","","","",6,"","","N/A","197664","",20231023
"","X","","2020-10-22",2020,"OCT","THU","10:00","10","","None","","SO was assisting passengers at the end of service at Stratford, to advice that services were closing earlier than usual due to planned engineering works on the railway.    Two passengers objected to this and began verbally abusing the TSO, also using racial insults.  The TSO requested assistance from BTP, and kept observing the passengers.  The male passenger continued to abuse the TSO, while the female passenger suddenly leapt forward and punched the TSO.  The BTP did attend, but the passengers departed in a taxi before they got there.","Physical","","","","","","","","","","","","","",8,"","","N/A","197711","",20231023
"","X","","2020-10-22",2020,"OCT","THU","10:00","10","","None","","SO was assisting passengers at the end of service at Stratford, to advice that services were closing earlier than usual due to planned engineering works on the railway.    Two passengers objected to this and began verbally abusing the TSO, also using racial insults.  The TSO requested assistance from BTP, and kept observing the passengers.  The male passenger continued to abuse the TSO, while the female passenger suddenly leapt forward and punched the TSO.  The BTP did attend, but the passengers departed in a taxi before they got there.","Physical","","","","","","","","","","","","","",8,"","","N/A","197711","",20231023
"","X","","2020-11-13",2020,"NOV","FRI","10:00","10","","None","","""A Mobile Supervisor was racially and verbally abused when they were dealing with a passenger sleeping on a train, who then refused to leave.
""","Verbal","","","","","","","","","","","","","",8,"","","N/A","197784","",20231024
"","X","","2020-11-16",2020,"NOV","MON","10:00","10","","None","","At Canning Town a Supervisor was verbally abused by a vagrant who is banned from the DLR.","Verbal","","","","","","","","","","","","","",9,"","","N/A","197787","",20231024
"","X","","2020-11-17",2020,"NOV","TUE","10:00","10","","None","","At Woolwich Arsenal a PSA was verbally abused and threatened by a customer.","Verbal","","","","","","","","","","","","","",9,"","","N/A","197789","",20231024
"","X","","2020-11-25",2020,"NOV","WED","10:00","10","","None","","At Poplar when booking on a Contractor the IAC was berbally abused and sworn at.","Verbal","","","","","","","","","","","","","",9,"","","N/A","197809","",20231024
"","X","","2020-12-10",2020,"DEC","THU","10:00","10","","None","","At Beckton a PSA was harassed and threatened by a female passenger on the platform.","Verbal","","","","","","","","","","","","","",9,"","","N/A","197822","",20231024
"","X","","2020-12-10",2020,"DEC","THU","10:00","10","","None","","At Beckton Park a group of men verbally abused a member of staff and one of the group exposed themselves. The BTP were called and one of them was arrested.","Verbal","","","","","","","","","","","","","",9,"","","N/A","197825","",20231024
"","X","","2020-12-12",2020,"DEC","SAT","10:00","10","","None","",""" At Westferry a LUL staff member with an exemption from wearing a face covering, was verbally assaulted by a customer for not wearing a face covering.
""","Verbal","","","","","","","","","","","","","",9,"","","N/A","197830","",20231024
"","X","","2020-12-20",2020,"DEC","SUN","10:00","10","","None","","At Stratford International a customer verbally abused a PSA","Verbal","","","","","","","","","","","","","",10,"","","N/A","197878","",20231025
"","X","","2020-12-21",2020,"DEC","MON","10:00","10","","None","","At Deptford Bridge a TSO was spat on by a homeless person who was sleeping in the lift. She contacted the Control Centre for assistance and went to take a photo of the suspect who then pushed her against the information board and knocked her phone out of her hand. When the TSO attempted to pick up the phone the homeless person stamped on her hand.","Physical","","","","","","","","","","","","","",10,"","","N/A","197885","",20231025
"","X","","2020-12-23",2020,"DEC","WED","10:00","10","","None","","At Canary Wharf a Mobile Supervisor was verbally abused by a customer","Verbal","","","","","","","","","","","","","",10,"","","N/A","197892","",20231025
"","X","","2020-12-24",2020,"DEC","THU","10:00","10","","None","","A customer threated a PSA with a metal pole at Lewisham","Threat","","","","","","","","","","","","","",10,"","","N/A","197893","",20231025
"","X","","2021-04-04",2021,"APR","SUN","10:00","10","","Passenger Train (in cab)","","Physical assault. Driver of Tram 2548 reported that a laser device was pointed towards the tram from the foot crossing area within the single line section between Morden Road and Phipps Bridge","Other","","","","","","","","","","","","","",1,"","","N/A","196759","",20231012
"","X","","2021-04-12",2021,"APR","MON","10:00","10","","None","","A Lead CSO was assisting a passenger with disabilities when another passenger started being abusive towards him. A PSA on the platform witnessed the incident, called the CC and requested the BTP. Upon hearing that the police had been called, the abusive passenger left the station.","Verbal","","","","","","","","","","","","","",1,"","","N/A","197961","",20231025
"","X","","2021-04-12",2021,"APR","MON","10:00","10","","None","","A passenger spat at & threw a drink at a Customer Service Team Leader at the entrance to the station because she was unable to give him a light for his cigarette. The passenger was very aggressive and was carrying a screwdriver. He has left the station shortly afterwards. ( A spit & drink didn’t reach the CSTL therefore an assault is classified as verbal).","Threat","","","","","","","","","","","","","",1,"","","N/A","198017","",20231026
"","X","","2021-04-17",2021,"APR","SAT","10:00","10","","None","","An intoxicated passenger without  a mask has been abusive& threatening towards a PSA and passengers on the train. Two members of station staff have intervened and tried to calm the passenger down but he kept being aggressive and abusive to the PSA. The PSA was advised to board the train and depart and allow the two station staff to manage the incident, who escorted the passenger up the escalator. The BTP were called but couldn’t locate the passenger.","Verbal","","","","","","","","","","","","","",1,"","","N/A","198095","",20231027
"","X","","2021-04-19",2021,"APR","MON","10:00","10","","None","","At All Saints a TSO (ISS Contractor) was verbally and physically assaulted by a rough sleeper who was sleeping in the lift. The rough sleeper swore at the TSO and threw stones at him and was behaving very aggressively","Threat","","","","","","","","","","","","","",1,"","","N/A","198103","",20231027
"","X","","2021-04-19",2021,"APR","MON","10:00","10","","None","","A SD Team Manager  was called to reports of a sleeper on a train. The man refused to leave initially, he decided to get off at LIM and started  shouting abuse at the SD Team Manager from a distance.","Verbal","","","","","","","","","","","","","",1,"","","N/A","198106","",20231027
"","X","","2021-04-28",2021,"APR","WED","10:00","10","","None","","An Acting SD Team Supervisor attended a call to a vagrant in the lift, when he requested a male to leave, the male became abusive. BTP attendance has been requested.","Verbal","","","","","","","","","","","","","",1,"","","N/A","198117","",20231027
"","X","","2021-04-30",2021,"APR","FRI","10:00","10","","None","","A SD Team Manager was carrying out a PSA’s observation on the train when she witnessed two passengers having a very aggressive argument next to the 2nd Covid board. She tried to calm them down but one of the passengers became abusive towards the SD TM, shouting at her and  bashing their hand on the covid board. They were met by the BTP who spoke to the passengers and let them go. Another PSA has been abused by the same passenger on the train earlier.","Verbal","","","","","","","","","","","","","",1,"","","N/A","198119","",20231027
"","X","","2021-04-30",2021,"APR","FRI","10:00","10","","None","","Driver was abused by a member of public who tried to board the tram with a non-foldable bike.","Verbal","","","","","","","","","","","","","",1,"","","N/A","196767","",20231012
"","X","","2021-05-05",2021,"MAY","WED","10:00","10","","Passenger Train (in car)","","A passenger kicked down the 2nd board on the train and came into the restricted area, she was not wearing a mask. She became abusive to the PSA when he asked why she was not wearing  a mask and why she had kicked the board down. The PSA walked away and contacted CC.","Verbal","","","","","","","","","","","","","",2,"","","N/A","198121","",20231027
"","X","","2021-05-07",2021,"MAY","FRI","10:00","10","","Passenger Train (in car)","","A SD Team Manager was verbally abused by a sleeper on the train, the SD TM eventually managed to get him off the train","Verbal","","","","","","","","","","","","","",2,"","","N/A","198125","",20231027
"","X","","2021-05-07",2021,"MAY","FRI","10:00","10","","None","","The PSA reported that a passenger had held the doors open to stop the train moving as he had dropped money down the side of a seat, the PSA reported that the passenger was aggressive and had said he had mental health issues. BTP attended.","Verbal","","","","","","","","","","","","","",2,"","","N/A","198320","",20231031
"","X","","2021-05-08",2021,"MAY","SAT","10:00","10","","Lift (around lift)","","A Service Delivery Team Supervisor was called because of a vagrant in the lift. He asked the vagrant to leave which he did but he left all his belongings in the concourse area by the TVM and walked off. The TS waited to see if he would return when another man approached him and asked where the man that was in the lift was. The TS said he didn’t know and asked if he knew the man, but the second male became very aggressive and then rushed past the TS and headed toward the main road.","Verbal","","","","","","","","","","","","","",2,"","","N/A","198327","",20231031
"","X","","2021-05-09",2021,"MAY","SUN","10:00","10","","None","","Excessive youths with bikes on train trying to change to TOG service. Number of bikes thought to be 50-70.Train held and youths remove from service. Some of them became abusive, aggressive and threatening towards staff. They were told that BTP were on route. At this point the majority left the system.","Verbal","","","","","","","","","","","","","",2,"","","N/A","198328","",20231031
"","X","","2021-05-10",2021,"MAY","MON","10:00","10","","None","","Delivery  bike rider seen to cycle along platform at SHA and straight on to train and then again alighting WES 1. When asked by a SD Team Supervisor  why he cycled along the platform he became abusive and threatening. The SDTS ensured that he left the station but at a safe distance.","Verbal","","","","","","","","","","","","","",2,"","","N/A","198330","",20231031
"","X","","2021-05-21",2021,"MAY","FRI","10:00","10","","None","","An intoxicated passenger ripped the covid social distance board when the train docked at the station and became abusive & threatening to the PSA. The PSA told him to get off the train but he refused to move . After a few minutes  another passenger asked him to leave the train and he did.","Verbal","","","","","","","","","","","","","",2,"","","N/A","198359","",20231031
"","X","","2021-05-23",2021,"MAY","SUN","10:00","10","","None","","A LCSO & CSO had been informed that a passenger had passed through the end gate. They attended the incident and spoke with the passenger, explaining the dangerousness of his actions. Passenger was uninterested and became abusive.","Verbal","","","","","","","","","","","","","",2,"","","N/A","198365","",20231031
"IRF001126648","X","","2021-05-28",2021,"MAY","FRI","19:50","19","Oxford Circus","Passageway","","2050: ABM YA called from PHP13 stating that he had been verbally abused and requested police assistance. CSA 33 was in the office at the time and went to assist.
2052: CSS 06 in control room noticed BTP in the Argyle and made a call for them to assist via the tannoy system. CSA 33 requested that the train be held on the platform. CSM D5 called Central Line controller as the train was approaching the platform.
2053: NB Victoria train did not receive the message in time and so departs from the platform. The alleged perpetrator was not caught.
2054: BTP arrive on platform 6, where they take the details from ABM YA. Ref details not taken from ABM YA.
2103: ABM YA given duty of care and was ok to resume duty.","Verbal","","","","","","","","","","","","","",2,"","","Verbal abuse directed at cleaner who was cleaning around passenger.","IRF001126648","",20220226
"","X","","2021-05-29",2021,"MAY","SAT","10:00","10","","None","","A TSO (ISS Contractor) verbally assaulted whilst checking a passenger with no valid ticket and no face covering.","Verbal","","","","","","","","","","","","","",2,"","","N/A","198384","",20231031
"","X","","2021-06-08",2021,"JUN","TUE","10:00","10","","None","","A TSO was carrying out a revenue check when a passenger became threatening and aggressive and pushed the TSO in the chest. BTP requested.","Physical","","","","","","","","","","","","","",3,"","","N/A","198394","",20231031
"","X","","2021-06-08",2021,"JUN","TUE","10:00","10","","None","","An intoxicated passenger refused to get off the train. He then spat at a member of station  staff and started swearing at him. The passenger eventually got off the train but staff couldn't allow the train to depart as the passenger was in danger of falling trackside. The passenger eventually went into the concourse and up the escalators towards the exit. BTP requested.","Threat","","","","","","","","","","","","","",3,"","","N/A","198396","",20231031
"","X","","2021-06-08",2021,"JUN","TUE","10:00","10","","None","","An intoxicated passenger known to the DLR Bank staff refused to leave the train when a PSA was doing Out of Service Checks and became aggressive and loud and ready to fight. After much persuasion, the Bank staff where able to get him to leave the train and then the platform; then the PSA was able to depart the train.","Threat","","","","","","","","","","","","","",3,"","","N/A","198395","",20231031
"","X","","2021-06-09",2021,"JUN","WED","10:00","10","","None","","A PSA was about to close train doors when he noticed a passenger standing between the white line and the yellow line, too close to the train. After he has asked the passenger to move away to other side of the yellow line on the platform the passenger became abusive and started swearing at the PSA.","Verbal","","","","","","","","","","","","","",3,"","","N/A","198397","",20231031
"","X","","2021-06-13",2021,"JUN","SUN","10:00","10","","None","","A passenger with a buggy tried to push in through the closing train doors but stepped back after realising the doors were closing . The passenger became abusive, accusing a PSA of trying to drag her buggy along the platform. The PSA explained about the RTD and making sure the door was closed and how he had her in his view at all times but she proceeded to swear at him and call him names.","Verbal","","","","","","","","","","","","","",3,"","","N/A","198541","",20231102
"","X","","2021-06-18",2021,"JUN","FRI","10:00","10","","None","","A passenger became aggressive and threatening to the revenue officer after being asked for his ticket. Another member of the Revenue team tried to calm the passenger down but he was still shouting refusing to leave the station and continuously threatening the staff saying he was going to stab them both. After speaking to the Revenue team supervisor the passenger has finally left the station.","Verbal","","","","","","","","","","","","","",3,"","","N/A","198565","",20231102
"","X","","2021-06-22",2021,"JUN","TUE","10:00","10","","None","","""During the Revenue exercise a passenger started abusing the revenue team after they asked her to show a ticket or validate an oyster card. When she was asked again to get a ticket prior travelling she  splashed an open can drink she had on her on the staff. After that she left the station.
""","Verbal","","","","","","","","","","","","","",3,"","","N/A","198566","",20231102
"","X","","2021-06-22",2021,"JUN","TUE","10:00","10","","None","","An aggressive passenger kicked the train and became abusive to a TSO who was monitoring the passenger’s behaviour on the platform. BTP was requested (though they were monitoring on CCTV). The passenger boarded a train and left the station.","Verbal","","","","","","","","","","","","","",3,"","","N/A","198568","",20231102
"","X","","2021-07-02",2021,"JUL","FRI","10:00","10","","None","","A driver was spat at through the window of their tram after effusing to let a passenger with a bike board AT Birkbeck Tram Stop.","Threat","","","","","","","","","","","","","",4,"","","N/A","196992","",20231016
"","X","","2021-07-07",2021,"JUL","WED","10:00","10","","None","","Intoxicated customer being abusive towards another customer - PSA and station staff intervened","Verbal","","","","","","","","","","","","","",4,"","","N/A","198581","",20231102
"","X","","2021-07-09",2021,"JUL","FRI","10:00","10","","None","","""•	A driver, when changing ends at New Addington, observed a passenger in the restricted seating area behind the driver’s cab. The diver requested the passenger move but was met with verbal abuse. This continued with the passenger shouting through the cab window.""","Verbal","","","","","","","","","","","","","",4,"","","N/A","196993","",20231016
"","X","","2021-07-10",2021,"JUL","SAT","10:00","10","","None","","At Lewisham a PSA was shoved by a customer who wanted to sit in the LEDP restricted area.","Physical","","","","","","","","","","","","","",4,"","","N/A","198583","",20231102
"","X","","2021-07-15",2021,"JUL","THU","10:00","10","","None","","When attempting to move a rough sleeper on - SD Team Supervisor was verbally abused. BTP were requested to attend.","Verbal","","","","","","","","","","","","","",4,"","","N/A","198640","",20231103
"","X","","2021-07-21",2021,"JUL","WED","10:00","10","","None","","""•	A Revenue Inspector was racially abused at Lebanon Road Tram stop. Police were informed who attended the scene and arrested the customer""","Verbal","","","","","","","","","","","","","",4,"","","N/A","196995","",20231016
"","X","","2021-07-26",2021,"JUL","MON","10:00","10","","None","","An aggressive and mentally unstable passenger was abusive to another passengers on the platform. A PSA was trying to talk to the passenger and calm the situation down,. The passenger started being abuseiveand threatening to the PSA.","Verbal","","","","","","","","","","","","","",5,"","","N/A","198717","",20231104
"","X","","2021-07-26",2021,"JUL","MON","10:00","10","","None","","A PSA attended a report of sleepers in the lift at Polar. One of the sleepers refused to leave and became abusive to the PSA. BTP has been requested.","Verbal","","","","","","","","","","","","","",5,"","","N/A","198718","",20231104
"","X","","2021-07-29",2021,"JUL","THU","10:00","10","","None","","a revenue team member was spat on and had his hi-vis torn off his body by a customer without a valid travel ticket.","Threat","","","","","","","","","","","","","",5,"","","N/A","198710","",20231104
"","X","","2021-08-04",2021,"AUG","WED","10:00","10","","None","","A SDTM was asked to assist 311 in dealing with an intoxicated passenger on the network. The passenger threatened a member of staff and left the train.","Threat","","","","","","","","","","","","","",5,"","","N/A","198714","",20231104
"","X","","2021-08-04",2021,"AUG","WED","10:00","10","","None","","An intoxicated passenger approached a PSA  to ask for directions.  After getting the directions the passenger would not move from the doors and kept asking to kiss the PSA. A member of Bank staff assisted the PSA and she was able to depart the train.","Verbal","","","","","","","","","","","","","",5,"","","N/A","198716","",20231104
"","X","","2021-08-06",2021,"AUG","FRI","10:00","10","","None","","A passenger was traveling on the network, activating platform alarms. After being asked why he pressed the alarms by a SDTM the passenger became aggressive and threatening. He activated another platform alarm & passenger alarm on the train and left the system at LEW.","Threat","","","","","","","","","","","","","",5,"","","N/A","198713","",20231104
"","X","","2021-08-11",2021,"AUG","WED","10:00","10","","None","","Revenue Protection officer requested a passenger to check his ticket and the passenger became very aggressive and started  threatening the Revenue Protective officer to see them next time.","Verbal","","","","","","","","","","","","","",5,"","","N/A","198711","",20231104
"","X","","2021-08-13",2021,"AUG","FRI","10:00","10","","None","","A PSA went to check passengers’ welfare The passengers became aggressive and threatening to the PSA.","Threat","","","","","","","","","","","","","",5,"","","N/A","198712","",20231104
"","X","","2021-08-15",2021,"AUG","SUN","10:00","10","","None","","a LCSO attempted to intervene when two intoxicated customers began arguing and was pushed by one of the customers","Physical","","","","","","","","","","","","","",5,"","","N/A","198708","",20231104
"","X","","2021-08-19",2021,"AUG","THU","10:00","10","","None","","a LSCO was slapped in the chest when attempting to assist an aggressive and intoxicated customer.","Physical","","","","","","","","","","","","","",5,"","","N/A","198709","",20231104
"IRF001166221","X","","2022-02-18",2022,"FEB","FRI","13:54","13","Canada Water","Booking Hall","","At approximately 1354 we had a call from the tenant in Green Zen to say that there was a group of youths harassing him in his unit.  A PA call was made for BTP and the CSS went to attend.

The CSS found that there was a group of teenagers outside his shop with mobile phones up videoing.  They were being verbally aggressive to the tenant and threatened to assault him.  The CSS advised them that they either had to leave the station or start traveling immediately.  That they weren't allowed to congregate in the ticket hall.  At this they because aggressive towards the CSS using threatening language and shoving mobile phones in the CSS face.  One of the group threw a bottle of water  at the Green Zen unit which the tenant kicked back at them.  

This was  then picked up by the same male who had been threatening assault against the CSS.  The male went to throw the bottle again and the CSS raised his arm to prevent it being thrown at him.

The teenage male continued to be abusive and threaten to  the CSS. Pushing his face into the CSS.  Saying that he was going to come back and hit me.  That I should get down on my knees and beg for forgiveness.  That he will end me.

The group then pushed through the gate line and went down to the platform.

CSS spoke to the tenant about the issue and then returned to the control room to report to the BTP 109 number.

A reference from the BTP of  18/02/2022/374

The tenant in Green Zen believes ae the same group of youths that he has been harassed with before.  They come into the unit dropping litter over the tables and being abusive.  This is down whilst filming on their mobile phones.","Threat","","CSS1","","","","","","","","","","","",12,"","","Anti social behaviour from group of teenagers
Duty of care given by the CSM.","IRF001166221","18/02/2022/374",20220227
"IRF001166711","X","","2022-02-21",2022,"FEB","MON","16:54","16","Kenton","Passenger Train (in car)","","Customer Service - Vandalism - Objects thrown at train and Train Operator verbally abused.
As per account of Train operator via Trains Manager
16:31 At Queens Park on the north, Train Operator made a PA to the Train to inform passengers that smoking is not allowed. He did several messages as he could smell smoke from the front cab and the smoke had a pungent smell from a banned drug. He then announced that if the smoking did not cease, he would need to detrain the train. After several minutes, the train departed north
16:54 At Kenton on the Down, one male alighted from the train and started banging at the cab window and shouting abuse to the Train Operator. He then went on to the platform ramp and picked up ballast from the track and threw it at the window, chipping the windscreen
16:58 Train Operator reported to Wembley Signaller. BTP requested and Station Staff assisted. Assailant absconded. CSS completed welfare check with Train Operator and he stated that he was fit to continue
17:00 Train departed north in passenger service to Harrow & Wealdstone. 
17:20 Train detrained due to window screen condition and ran empty into depot. Stonebridge Park Depot. No stock available for changeover. Train remained cancelled until further notice
See Stations Full EIRF for further details 1166718
18;12 BTP on site at Kenton to view CCTV","Threat","","TO28","","","","","","","","","","","",12,"","","Passenger who was told to stop smoking verbally abused and threatened the Train Operator and threw ballast at the train window, chipping the glass.
BTP informed and attended Kenton to view CCTV. No assailant found on or near station
Glass replaced in depot
Full Radio Comms Download and CCTV requested
Train Operator booked off after stabling his train as it was the end of his duty. No TPR provided and no contact to undersigned made by Train Operator or Trains Manager after several requests for contact to be made before Train Operator books off
Train Operator will be relieved from the start of his next book on (22/02/22 16:46) for a fact finding by undersigned to confirm details of events and a follow up welfare check
CCTV Image of assailant attached, Black Male, in black clothing with orange hi-vi under outer jacket
22/02/2022 Undersigned spoke with Train Operator when he booked on. He confirmed events above. I also confirmed he was fit for duty and ready for his pick up. In summary, Train Operator initially made PA announcements at Queens Park to highlight no smoking and also asked male to remove himself from within the carriage's covid barrier. The male verbally abused the Train Operator and threatened him with physical violence at one point saying ""I will cut you"" as he reached inside his pocket. The Train Operator then announced that the train was going to be detrained as the male was being aggressive. The train half detrained and a member of public told the Train Operator that the male had left so the Train Operator allowed passengers back on the train and departed. At Kenton, the same male appeared running up the platform towards the front of the train and then banged on the droplight and was shouting abuse and threatening the Train Operator. He then walked down the platform ramp and picked up ballast and threw it at the front of the train. The Train Operator reported to the Signaller then departed the station. In hindsight, he stated that he should have reported the incident at Queens Park but he believed that the aggressive male had left his train

Details passed to BTP under the BTP Ref 377
Radio Comms attached","IRF001166711","CAD 5236/21/02/22",20220226
"IRF001166746","X","","2022-02-21",2022,"FEB","MON","22:01","22","Edgware Road","Passenger Train (in car)","","Eastbound train 261 was delayed departing Edgware Road due to passenger action on staff. BTP and DRM in attendance. BTP ref 564 of 21/02.

The undersigned proceeded to platform 1 Edgware Road and met Train Operator 1685531 who reported the assault. When spoken to, the Assaulted Operator stated that he was doing 122 duty and was relieved off train 262 at 21:44 Hammersmith (end of duty). The now off duty operator boarded eastbound train 261 and was scheduled to alight at Kings Cross. As train 261 was entering Edgware Road, the assaulted operator began walking from the rear car towards the front of the train. At about the fourth car, a white male, about 5 feet 9 inches, grey hair and stocky build was standing in the middle of the passage way in the aforementioned car. As the off duty operator tried to walk round the offending passenger, the latter blocked the former and demanded that the off duty operator pay 10p before he would be allowed to pass. The off duty operator brought out his staff pass and told the offending male that he was a staff of LUL. The offending male swore at the off duty operator whilst giving him a stare at close proximity. The off duty operator, now shaken by the what had just happened, was able to walk pass the offending male and immediately reported the incident to the Service Controller.

When spoken to, the Service Controller stated that she received a connect radio call from the train operator of train 261. A  train operator who has just finished duty and travelling on the incident train, reported that he was assaulted by a passenger on board the train. The incident train was held in the platform and the BTP was requested.

At 22:10, two BTP officers arrived on site. They spoke briefly to the assaulted train operator before proceeding to have a chat with the offending male. At 22:13, the offending passenger was escorted off the train and out of the station. At 22:14, train 261 departed Edgware Road in service.","Verbal","","TO21","","","","","","","","","","","",12,"","","Off duty train operator, travelling on train 261, was verbally assaulted by a male passenger on board the train at Edgware Road. The offending male was removed off the train by BTP.

Duty of care was provided to the assaulted operator. He declined offer of transport home and opted to continue his journey by train. The assaulted operator was implored to contact a Trauma Support Volunteer (details given).","IRF001166746","",20220222
"IRF001166823","X","","2022-02-22",2022,"FEB","TUE","08:40","08","North Greenwich","Booking Hall","","Staff member is being repeatedly targeted verbally by an individual. This person forced through entry & exit gates within the local areas. They directly & deliberately sought out mention staff member to threaten, antagonise & intimidate verbally along with using staff members name in the encounter. This has been happening on multiple occasions before todays report.

This incident has been reported via BTP text reporting system, crime reference no. has not yet been generated.

Some previously recorded incident regarding the same individual and actions have crime numbers logged as follows.

198 06-05-2021
232 07-05-2021

There are also two more logged incidents but crime number are not known at this time,","Threat","","CSA1","","","","","","","","","","","",12,"","","Repeated anti social behaviour & deliberate targeting/threats towards a member of staff by one individual.","IRF001166823","",20220222
